q1,q2,q3,q4,q5,q6,q7,q29,q58,q65,q67,weight,stratum,psu
5,2,3,2,C,1.73,68.04,1,4,1,4,3.696,300,16294
4,2,1,2,E,1.75,111.13,1,1,1,3,3.7499,300,16294
5,2,2,2,C,1.85,102.06,1,2,1,1,3.9575,300,16294
4,2,1,2,C,1.73,59.88,1,1,1,2,3.9718,300,16294
5,2,3,2,C,1.7,68.49,1,1,1,1,3.696,300,16294
6,1,3,2,C,1.6,86.18,1,,,,3.4161,300,16294
6,2,2,,C,,,1,1,1,2,3.9575,300,16294
4,1,1,2,C,1.55,58.97,2,2,1,3,3.4617,300,16294
6,2,3,2,C,1.75,56.7,1,2,1,4,3.696,300,16294
6,1,3,2,C,1.63,86.18,1,1,3,1,3.4161,300,16294
5,2,2,2,C,1.85,86.64,3,1,3,3,3.9575,300,16294
4,1,1,2,C,1.68,58.97,1,1,1,2,3.4617,300,16294
7,1,3,2,C,1.65,117.94,1,2,1,1,3.4161,300,16294
5,2,3,2,C,1.8,73.94,1,2,1,2,3.696,300,16294
5,2,2,2,CD,1.75,77.11,2,1,1,3,2.8899,300,16294
5,2,1,2,C,,,1,3,1,2,3.9718,300,16294
4,2,1,2,C,1.75,70.31,1,1,4,3,3.9718,300,16294
6,2,3,2,C,1.85,102.97,1,,1,4,3.696,300,16294
5,2,3,2,C E,1.78,61.24,1,2,1,2,3.696,300,16294
4,2,2,1,B,,,1,1,4,4,3.6324,300,16294
3,2,1,2,C,1.73,63.5,2,1,1,3,3.9718,300,16294
7,2,4,2,C,1.8,68.04,1,1,1,1,4.1508,300,16294
4,2,2,2,A C,1.8,68.04,1,1,1,2,1.5841,300,16294
6,1,3,2,C,,,1,1,1,2,3.4161,300,16294
5,1,2,2,C,1.57,88.45,1,2,1,1,3.7273,300,16294
5,2,1,2,C,,,2,7,1,3,3.9718,300,16294
5,2,2,2,C,1.85,87.09,1,1,1,1,3.9575,300,16294
4,1,1,2,C,1.65,98.88,1,1,1,1,3.4617,300,16294
4,1,1,2,C,1.7,56.7,1,1,1,1,3.4617,300,16294
6,1,3,2,C,1.57,82.56,1,5,1,1,3.4161,300,16294
6,2,3,2,C,1.65,59.42,1,1,1,2,3.696,300,16294
5,2,2,2,C,1.75,73.03,1,1,1,1,3.9575,300,16294
4,1,1,2,C,1.63,58.97,1,1,1,1,3.4617,300,16294
4,2,1,2,C,1.78,111.13,1,,,,3.9718,300,16294
6,1,3,2,C,1.63,107.05,1,2,1,3,3.4161,300,16294
6,2,3,2,C,1.93,72.58,1,7,1,2,3.696,300,16294
5,2,2,2,C,1.83,58.97,1,5,1,2,3.9575,300,16294
4,2,1,2,C,1.7,54.43,1,3,1,3,3.9718,300,16294
4,2,1,2,E,1.65,61.24,1,1,1,1,3.7499,300,16294
5,2,2,2,C,1.9,86.18,1,1,1,1,3.9575,300,16294
7,2,3,2,C,1.7,114.31,1,1,1,1,3.696,300,16294
5,1,2,2,C,1.65,61.24,1,1,1,2,3.7273,300,16294
4,2,1,2,C,1.85,71.22,1,7,1,4,3.9718,300,16294
6,1,3,2,A   E,1.55,72.12,2,5,1,1,1.0276,103,16294
5,1,2,2,C,1.57,54.89,1,1,1,2,2.3332,103,16294
4,2,1,2,C,1.75,63.5,1,2,,2,3.3889,103,16294
4,2,1,2,E,1.73,63.5,1,1,1,4,3.5762,103,16294
4,2,1,2,C,1.65,49.9,1,1,1,2,3.3889,103,16294
4,1,1,2,C,1.75,92.53,1,1,1,1,3.0684,103,16294
4,1,1,2,C,1.63,52.16,1,1,1,2,3.0684,103,16294
3,1,1,2,C,1.68,85.28,1,1,1,1,3.0684,103,16294
5,1,2,1,E,1.52,58.06,1,1,1,1,3.6828,103,16294
3,1,1,2,C,1.52,61.24,1,1,1,4,3.0684,103,16294
3,1,1,2,C,1.52,68.04,1,1,1,1,3.0684,103,16294
3,2,1,2,C,1.75,68.04,1,1,1,4,3.3889,103,16294
4,1,2,2,B,1.57,48.54,1,1,1,4,1.0484,103,16294
4,2,1,2,C,1.75,62.14,1,1,1,2,3.3889,103,16294
4,1,1,2,C,1.65,53.98,1,1,1,2,3.0684,103,16294
3,2,1,2,C,1.78,85.73,1,1,1,1,3.3889,103,16294
4,2,1,2,E,1.75,61.24,1,1,1,4,3.5762,103,16294
3,2,1,2,C,1.78,61.24,1,1,1,2,3.3889,103,16294
4,2,1,2,E,1.85,69.4,1,1,1,2,3.5762,103,16294
4,2,1,2,E,1.68,56.7,1,1,1,2,3.5762,103,16294
4,1,1,2,C,1.7,54.43,1,2,1,3,3.0684,103,16294
6,1,3,2,C,1.55,55.34,1,1,1,2,3.4161,103,16294
4,2,1,2,C,1.83,60.78,1,2,1,2,3.3889,103,16294
5,2,2,2,C,1.96,147.42,1,2,1,3,3.4809,103,16294
5,1,3,2,C,1.7,58.97,1,1,1,4,3.4161,103,16294
4,1,2,2,A,1.65,56.7,1,2,1,3,0.0089,300,58418
5,2,2,2,A,,,1,1,1,1,0.0033,300,58418
5,2,2,2,A,,,1,,1,1,0.0033,300,58418
4,1,2,2,A,1.68,54.43,4,1,2,2,0.0089,300,58418
4,2,2,2,A,1.75,90.72,1,1,1,1,0.0033,300,58418
5,2,2,,A,,,1,1,1,1,0.0033,300,58418
6,2,2,2,A,1.75,88.91,1,2,,1,0.0033,300,58418
5,2,2,2,A,1.68,61.24,1,4,1,4,0.0033,300,58418
5,2,2,2,A,1.57,54.43,3,1,1,1,0.0033,300,58418
